Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID
5/14/2017, 09:54:59, 00:05:59,359.814,10.018,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Reverse mark"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:55:10, 00:06:11,371.048,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:55:10, 00:06:11,371.048,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:55:10, 00:06:11,371.048,31.936,65.422," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 09:55:45, 00:06:46,406.218,1.15,30.253," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 09:56:00, 00:07:01,421.219,1.333,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Squat mark"""," ""0-Nondirected""",,,,,,,, Point,23
5/14/2017, 09:56:15, 00:07:16,436.471,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 09:56:15, 00:07:16,436.471,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 09:56:15, 00:07:16,436.471,0.85,17.118," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 09:56:33, 00:07:33,453.589,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 09:56:33, 00:07:33,453.589,1.483,22.202," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:56:37, 00:07:38,458.106,1.45,17.685," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:56:45, 00:07:46,466.406,1.4,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Squat mark"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:56:55, 00:07:55,475.791,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:56:55, 00:07:55,475.791,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:56:55, 00:07:55,475.791,3.566,5.75," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:57:00, 00:08:01,481.541,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:57:00, 00:08:01,481.541,1.55,19.835," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 09:57:20, 00:08:21,501.376,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 09:57:20, 00:08:21,501.376,1,25.553," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Humans""",,,,,,,, State start,23
5/14/2017, 09:57:46, 00:08:46,526.928,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Humans""",,,,,,,, State stop,23
5/14/2017, 09:57:46, 00:08:46,526.928,10.367,90.35," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:57:57, 00:08:58,538.179,4.667,79.099," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Body length <1"""," ""M-Wu Gang""",,,,,,,, State start,23
